"sender.id","local.id","date.time"
13,106,2007-03-26 08:48:21
13,106,2007-03-26 08:48:28
13,106,2007-03-26 08:48:29
13,106,2007-03-26 08:48:31
13,106,2007-03-26 10:06:38
13,276,2007-03-26 10:08:09
0,106,2007-03-26 12:31:59
280,264,2007-03-26 13:24:29
280,264,2007-03-26 13:24:34
281,273,2007-03-26 13:29:32
281,273,2007-03-26 13:29:58
273,281,2007-03-26 13:30:02
13,106,2007-03-26 13:37:18
13,106,2007-03-26 13:37:19
281,105,2007-03-26 13:38:31
281,105,2007-03-26 13:38:35
281,105,2007-03-26 13:38:38
281,105,2007-03-26 13:38:41
281,105,2007-03-26 13:38:48
7,251,2007-03-26 13:46:49
105,265,2007-03-26 13:56:13
105,265,2007-03-26 13:56:22
105,265,2007-03-26 13:56:28
265,264,2007-03-26 14:00:22
265,264,2007-03-26 14:00:54
265,264,2007-03-26 14:00:58
264,265,2007-03-26 14:00:59
265,264,2007-03-26 14:01:04
265,264,2007-03-26 14:01:08
281,280,2007-03-26 14:01:14
294,107,2007-03-26 14:03:09
107,294,2007-03-26 14:03:25
294,107,2007-03-26 14:03:35
107,264,2007-03-26 14:08:11
105,265,2007-03-26 14:25:22
267,258,2007-03-26 14:38:52
293,268,2007-03-26 14:41:06
293,268,2007-03-26 14:41:12
18,293,2007-03-26 14:41:12
268,293,2007-03-26 14:41:12
293,268,2007-03-26 14:41:22
268,293,2007-03-26 14:41:31
293,294,2007-03-26 14:47:06
293,294,2007-03-26 14:47:13
294,293,2007-03-26 14:47:13
293,294,2007-03-26 14:47:22
294,293,2007-03-26 14:47:23
293,294,2007-03-26 14:47:33
294,293,2007-03-26 14:47:53
267,280,2007-03-26 15:05:01
267,280,2007-03-26 15:05:14
99,280,2007-03-26 15:05:24
105,281,2007-03-26 15:19:51
281,105,2007-03-26 15:20:42
267,258,2007-03-26 15:25:39
267,258,2007-03-26 15:26:02
267,258,2007-03-26 15:26:22
267,258,2007-03-26 15:26:22
267,258,2007-03-26 15:26:32
267,258,2007-03-26 15:26:42
267,258,2007-03-26 15:26:55
267,258,2007-03-26 15:27:12
267,258,2007-03-26 15:29:42
258,267,2007-03-26 15:29:45
267,290,2007-03-26 15:30:02
109,276,2007-03-26 15:47:42
268,266,2007-03-26 16:12:38
268,266,2007-03-26 16:12:44
266,268,2007-03-26 16:12:44
268,266,2007-03-26 16:13:06
266,268,2007-03-26 16:13:06
266,268,2007-03-26 16:13:43
266,268,2007-03-26 16:14:06
266,268,2007-03-26 16:14:23
266,268,2007-03-26 16:14:38
13,109,2007-03-26 17:04:10
13,109,2007-03-26 17:04:11
13,109,2007-03-26 17:04:18
13,109,2007-03-26 17:04:22
13,109,2007-03-26 17:04:24
99,265,2007-03-26 17:10:09
265,99,2007-03-26 17:10:34
99,265,2007-03-26 17:11:09
265,99,2007-03-26 17:11:09
265,99,2007-03-26 17:11:14
265,99,2007-03-26 17:11:24
265,99,2007-03-26 17:11:25
